gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reg
ENSG00000117602.10,124.45453999702058,2.0934602531783844,0.7463894521192131,2.8047827407454005,0.005035050561501162,0.03338953469031737,up
ENSG00000182749.5,317.16373354374065,-1.7325575175713401,0.3192466157215972,-5.42701921414333,5.7302961729368124e-8,2.3026087138849067e-6,down
ENSG00000175707.8,11.011037148665174,-4.357466066693012,1.5621876252071476,-2.789335926352129,0.005281625041841528,0.034619386239170304,down
ENSG00000253368.3,118.45432659276162,2.0992662860118014,0.6984631283103089,3.005550616666414,0.0026510046922359047,0.02019594030180585,up
ENSG00000270605.1,45.4756881531663,-2.036622032125429,0.5063873880961623,-4.021865630939996,5.7738994454600246e-5,8.862733764185143e-4,down
ENSG00000188060.6,24.08824978722029,-2.169446846695174,0.803580793144002,-2.6997246141327427,0.006939689296680857,0.04260872169570484,down
ENSG00000116329.9,117.5027865113258,-3.469183734595779,1.2063322595263208,-2.875811126826693,0.004029907699873598,0.028081420321341425,down
ENSG00000253304.1,35.46265401364307,3.24921955524822,0.7744317783629938,4.19561754311848,2.7212911204026427e-5,4.773813394033007e-4,up
ENSG00000084628.8,479.6090510825186,-6.608156900030735,0.797577605444752,-8.28528390832368,1.1782766517575595e-16,3.6299189482215344e-14,down
ENSG00000229447.2,14.49330753036989,-2.3544421079583935,0.8032066374027224,-2.9313031022400433,0.0033754326567194707,0.024432233079964512,down
ENSG00000134668.11,216.01528195707434,4.2837489991267415,0.7754311413292702,5.52434480743628,3.307174107627619e-8,1.485267962402583e-6,up
ENSG00000273274.1,21.253777540057428,-2.391199532109012,0.7412676199340869,-3.2258248813318406,0.0012561018639659926,0.011134350697245245,down
ENSG00000160097.14,983.4081165669121,-2.871921430625304,1.066519673156894,-2.692797425971926,0.007085530546507695,0.043337483941718956,down
ENSG00000121905.8,278.732370738163,-8.53257574177715,0.721216010639576,-11.830818528571548,2.704911187714001e-32,5.937280057032232e-29,down
ENSG00000276645.1,19.300686625216997,-3.5073750675330166,0.7608024500309258,-4.610099596012665,4.024761086197872e-6,9.461151897407581e-5,down
